"ID","Role","SystemID","timestamp"
2117,Αφίσα,2,2021-07-27 15:55:42.000
2294,Προπώληση,2,2023-09-25 13:21:50.000
1690,Σκηνοθεσία,2,2021-01-31 08:32:57.000
1691,Σκηνικά,2,2021-01-31 08:32:58.000
1692,Κοστούμια,2,2021-01-31 08:32:58.000
1693,Φωτισμοί,2,2021-01-31 08:32:59.000
1694,Βοηθός σκηνοθέτη,2,2023-09-25 13:38:43.000
1695,Ηθοποιός,2,2023-06-01 12:15:25.000
1696,Συγγραφέας,2,2021-01-31 08:33:15.000
1697,Σκηνοθεσία / Δραματουργική επεξεργασία,2,2021-01-31 08:33:16.000
1698,Μετάφραση,2,2021-01-31 08:33:17.000
1699,Πρωτότυπη Μουσική,2,2021-01-31 08:33:18.000
1700,Σκηνικά/Κοστούμια,2,2021-01-31 08:33:18.000
1701,Φωτογραφία,2,2021-01-31 08:33:20.000
1702,Γραφιστική Επεξεργασία,2,2021-01-31 08:33:21.000
1703,Διεύθυνση Παραγωγής,2,2021-01-31 08:33:22.000
1704,Προβολή/Επικοινωνία,2,2021-01-31 08:33:23.000
1705,Θεατρική απόδοση,2,2021-01-31 08:33:39.000
1706,Σκηνικό κοστούμι,2,2021-01-31 08:33:41.000
1707,Μουσική,2,2021-01-31 08:33:42.000
1708,Κάμερα-Μοντάζ,2,2021-01-31 08:33:43.000
1709,Βοηθός κάμερας,2,2021-01-31 08:33:45.000
1710,Τηλεσκηνοθεσία,2,2021-01-31 08:33:45.000
1711,Επικοινωνία,2,2021-01-31 08:33:46.000
1712,Τζο,2,2021-01-31 08:33:47.000
1713,Παραγωγή,2,2021-01-31 08:33:48.000
1714,Μουσική/Ενορχήστρωση,2,2021-01-31 08:34:03.000
1715,KEIMENA-ΠΑΡΟΥΣΙΑΣΗ,2,2021-01-31 08:34:33.000
1716,Show - κείμενα,2,2021-01-31 08:36:28.000
1717,Σκηνοθεσία - μοντάζ,2,2021-01-31 08:36:29.000
1718,Κείμενο,2,2021-01-31 08:37:04.000
1719,Σκηνικά - Κοστούμια,2,2021-01-31 08:37:07.000
1720,Μουσική επιμέλεια,2,2021-01-31 08:37:08.000
1721,Οργάνωση παραγωγής,2,2021-01-31 08:37:08.000
1722,Δημόσιες Σχέσεις & Επικοινωνία,2,2021-01-31 08:37:09.000
1723,Φωτό,2,2021-01-31 08:37:09.000
1724,Σχεδιασμός Παραγωγής,2,2021-01-31 08:37:10.000
